ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,RegistryPathIntune,RegistryPathDCP,RegistryItemIntune,ClassName,Namespace,Property,DefaultValue,DefaultValueIntune,RecommendedValue,RecommendedValueIntune,Operator,OperatorIntune,Severity,Filter
19.1.3.1,"Administrative Templates: Control Panel","Enable screen saver",Registry,,"HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop",ScreenSaveActive,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_ControlPanelDisplay,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_ControlPanelDisplay,CPL_Personalization_EnableScreenSaver,,,,,,1,,=,,Medium,
19.1.3.2,"Administrative Templates: Control Panel","Password protect the screen saver",Registry,,"HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop",ScreenSaverIsSecure,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_ControlPanelDisplay,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_ControlPanelDisplay,CPL_Personalization_ScreenSaverIsSecure,,,,,,1,,=,,Medium,
19.1.3.3,"Administrative Templates: Control Panel","Screen saver timeout",Registry,,"HKCU:\Software\Policies\Microsoft\Windows\Control Panel\Desktop",ScreenSaveTimeOut,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\Device\ADMX_ControlPanelDisplay,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\device\ADMX_ControlPanelDisplay,CPL_Personalization_ScreenSaverTimeOut,,,,,,900,,<=!0,,Medium,
19.5.1.1,"Administrative Templates: Start Menu and Taskbar","Notifications: Turn off toast notifications on the lock screen",Registry,,HKCU:\SOFTWARE\Policies\Microsoft\Windows\CurrentVersion\PushNotifications,NoToastApplicationNotificationOnLockScreen,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\ADMX_WPN,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\ADMX_WPN,NoLockScreenToastNotification,,,,0,,1,,=,,Medium,
19.6.6.1.1,"Administrative Templates: System","Internet Communication Management: Internet Communication Settings: Turn off Help Experience Improvement Program",Registry,,HKCU:\Software\Policies\Microsoft\Assistance\Client\1.0,NoImplicitFeedback,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\ADMX_HelpAndSupport,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\ADMX_HelpAndSupport,HPImplicitFeedback,,,,0,,1,,=,,Medium,
19.7.4.1,"Administrative Templates: Windows Components","Attachment Manager: Do not preserve zone information in file attachments",Registry,,HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments,SaveZoneInformation,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\AttachmentManager,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\AttachmentManager,DoNotPreserveZoneInformation,,,,,,2,,=,,Medium,
19.7.4.2,"Administrative Templates: Windows Components","Attachment Manager: Notify antivirus programs when opening attachments",Registry,,HKCU:\Software\Microsoft\Windows\CurrentVersion\Policies\Attachments,ScanWithAntiVirus,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\AttachmentManager,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\AttachmentManager,NotifyAntivirusPrograms,,,,,,3,,=,,Medium,
19.7.7.1,"Administrative Templates: Windows Components","Cloud Content: Configure Windows spotlight on lock screen",Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,ConfigureWindowsSpotlight,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\Experience,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\Experience,ConfigureWindowsSpotlightOnLockScreen,,,,,,2,,=,,Medium,
19.7.7.2,"Administrative Templates: Windows Components","Cloud Content: Do not suggest third-party content in Windows spotlight",Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableThirdPartySuggestions,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\Experience,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\Experience,AllowThirdPartySuggestionsInWindowsSpotlight,,,,0,,1,,=,,Medium,
19.7.7.3,"Administrative Templates: Windows Components","Cloud Content: Do not use diagnostic data for tailored experiences",Registry,,HKCU:\Software\Policies\Microsoft\Windows\CloudContent,DisableTailoredExperiencesWithDiagnosticData,HKLM:\SOFTWARE\Microsoft\PolicyManager\Providers\{GUID}\default\{SID}\Experience,HKLM:\SOFTWARE\Microsoft\PolicyManager\current\{SID}\Experience,AllowTailoredExperiencesWithDiagnosticData,,,,0,,1,,=,,Medium,
